Código,Ação,Tipo,Qtde. Teórica,Part. (%)
RRRP3,3R PETROLEUM,ON NM,238.441.689,0.326
ALOS3,ALLOS,ON NM,532.616.595,0.539
ALPA4,ALPARGATAS,PN N1,166.362.038,0.072
ABEV3,AMBEV S/A,ON,4.394.245.879,2.455
ARZZ3,AREZZO CO,ON NM,62.305.891,0.154
ASAI3,ASSAI,ON NM,1.349.217.892,0.651
AZUL4,AZUL,PN N2,332.825.777,0.117
B3SA3,B3,ON NM,5.602.790.110,2.855
BBSE3,BBSEGURIDADE,ON NM,671.750.768,1.075
BBDC3,BRADESCO,ON EJ N1,1.489.259.656,0.808
BBDC4,BRADESCO,PN EJ N1,5.135.772.281,3.063
BRAP4,BRADESPAR,PN N1,250.992.819,0.230
BBAS3,BRASIL,ON NM,2.842.247.534,3.666
BRKM5,BRASKEM,PNA N1,265.877.867,0.228
BRFS3,BRF SA,ON NM,835.221.269,0.962
BPAC11,BTGP BANCO,UNT N2,1.150.645.866,1.757
CRFB3,CARREFOUR BR,ON NM,533.990.587,0.236
CCRO3,CCR SA,ON NM,995.335.937,0.554
CMIG4,CEMIG,PN EJ N1,1.868.640.510,0.918
CIEL3,CIELO,ON NM,1.095.462.329,0.302
COGN3,COGNA ON,ON NM,1.814.903.540,0.147
CPLE6,COPEL,PNB N2,1.679.233.590,0.767
CSAN3,COSAN,ON NM,1.168.966.848,0.768
CPFE3,CPFL ENERGIA,ON NM,187.732.538,0.299
CMIN3,CSNMINERACAO,ON N2,1.110.559.345,0.293
CVCB3,CVC BRASIL,ON ATZ NM,525.582.771,0.046
CYRE3,CYRELA REALT,ON NM,265.784.616,0.244
DXCO3,DEXCO,ON NM,302.768.240,0.096
ELET3,ELETROBRAS,ON N1,1.945.040.784,3.526
ELET6,ELETROBRAS,PNB N1,268.733.136,0.539
EMBR3,EMBRAER,ON NM,734.632.601,1.310
ENGI11,ENERGISA,UNT N2,326.265.871,0.715
ENEV3,ENEVA,ON NM,1.579.630.820,0.976
EGIE3,ENGIE BRASIL,ON NM,255.236.961,0.552
EQTL3,EQUATORIAL,ON NM,1.155.467.134,1.775
EZTC3,EZTEC,ON NM,91.514.307,0.058
FLRY3,FLEURY,ON NM,240.822.651,0.177
GGBR4,GERDAU,PN N1,1.246.339.197,1.123
GOAU4,GERDAU MET,PN N1,660.411.219,0.348
NTCO3,GRUPO NATURA,ON NM,849.346.756,0.644
SOMA3,GRUPO SOMA,ON NM,496.029.967,0.144
HAPV3,HAPVIDA,ON NM,4.394.332.306,0.797
HYPE3,HYPERA,ON EJ NM,409.490.388,0.573
IGTI11,IGUATEMI S.A,UNT N1,217.622.138,0.220
IRBR3,IRBBRASIL RE,ON NM,81.838.843,0.123
ITSA4,ITAUSA,PN N1,5.560.910.983,2.665
ITUB4,ITAUUNIBANCO,PN EJ N1,4.740.126.023,7.549
JBSS3,JBS,ON NM,1.134.986.472,1.815
KLBN11,KLABIN S/A,UNT N2,777.422.123,0.823
RENT3,LOCALIZA,ON EJS NM,863.138.188,1.755
LREN3,LOJAS RENNER,ON EJ NM,951.452.770,0.564
LWSA3,LWSA,ON NM,428.737.358,0.082
MGLU3,MAGAZ LUIZA,ON NM,351.757.412,0.209
MRFG3,MARFRIG,ON NM,331.799.687,0.208
BEEF3,MINERVA,ON NM,261.036.182,0.087
MRVE3,MRV,ON NM,375.130.280,0.119
MULT3,MULTIPLAN,ON EJ N2,268.505.432,0.296
PCAR3,P.ACUCAR-CBD,ON NM,379.400.826,0.049
PETR3,PETROBRAS,ON N2,2.150.495.108,4.297
PETR4,PETROBRAS,PN N2,4.566.445.852,8.575
RECV3,PETRORECSA,ON NM,275.166.463,0.273
PRIO3,PETRORIO,ON NM,804.019.521,1.793
PETZ3,PETZ,ON NM,314.729.428,0.056
RADL3,RAIADROGASIL,ON NM,1.280.079.284,1.580
RAIZ4,RAIZEN,PN N2,1.210.920.604,0.177
RDOR3,REDE D OR,ON EJ NM,1.144.776.793,1.502
RAIL3,RUMO S.A.,ON NM,1.218.352.541,1.229
SBSP3,SABESP,ON NM,340.001.799,1.291
SANB11,SANTANDER BR,UNT,342.918.449,0.458
SMTO3,SAO MARTINHO,ON NM,142.348.116,0.225
CSNA3,SID NACIONAL,ON,600.865.451,0.381
SLCE3,SLC AGRICOLA,ON NM,194.217.908,0.181
SUZB3,SUZANO S.A.,ON NM,664.114.223,1.865
TAEE11,TAESA,UNT N2,218.568.234,0.367
VIVT3,TELEF BRASIL,ON EJ,408.343.528,0.906
TIMS3,TIM,ON EJ NM,807.896.814,0.622
TOTS3,TOTVS,ON NM,514.122.351,0.734
TRPL4,TRAN PAULIST,PN N1,395.801.044,0.517
UGPA3,ULTRAPAR,ON NM,1.087.228.062,1.140
USIM5,USIMINAS,PNA N1,515.117.391,0.200
VALE3,VALE,ON NM,4.427.123.466,13.584
VAMO3,VAMOS,ON NM,498.860.020,0.183
VBBR3,VIBRA,ON EJ NM,1.114.613.709,1.103
VIVA3,VIVARA S.A.,ON NM,125.912.025,0.128
WEGE3,WEG,ON EJ NM,1.482.105.837,3.037
YDUQ3,YDUQS PART,ON NM,289.347.914,0.147

Quantidade Teórica Total,95.381.185.532,100.000
Redutor,"16.435.049,15036256"
